"Test Case ID","Module","Test Case Name","Description","Test Steps","Expected Result"
"L-NEG-09","Login - Negative","Special Characters in Username","Verify input validation for special characters","1. Enter special characters in username\n2. Enter valid password\n3. Click Login","Login fails; error message 'Invalid credentials' is displayed; stays on login page"
"L-NEG-10","Login - Negative","Extremely Long Input in Username","Verify buffer/input length robustness on username field","1. Enter 500+ characters in username\n2. Enter valid password\n3. Click Login","Login fails; error message 'Invalid credentials' is displayed; system does not crash"
"ADM-SAN-01","Admin Page Sanity","Navigate to Admin page","Verify Admin link in side menu works","1. Click 'Admin' link in side sidebar","Redirects to System Users list (URL contains '/admin/viewSystemUsers')"
"ADM-SAN-02","Admin Page Sanity","Verify Admin page header text","Verify top breadcrumb header is present and correct","1. Look at breadcrumb header","Header text is 'Admin'"
"ADM-SAN-03","Admin Page Sanity","Verify System Users search panel","Verify search filters panel is displayed","1. Observe top section of Admin page","The search panel container is visible"
"ADM-SAN-04","Admin Page Sanity","Verify Username search field","Verify Username search field is present and interactive","1. Inspect Username input in search panel","Input field is visible and enabled"
"ADM-SAN-05","Admin Page Sanity","Verify User Role dropdown","Verify User Role dropdown is present and interactive","1. Inspect User Role dropdown in search panel","Dropdown field is visible"
"ADM-SAN-06","Admin Page Sanity","Verify Employee Name field","Verify Employee Name autocomplete field is present","1. Inspect Employee Name input in search panel","Field is visible"
"ADM-SAN-07","Admin Page Sanity","Verify Status dropdown","Verify Status dropdown is present and interactive","1. Inspect Status dropdown in search panel","Dropdown field is visible"
"ADM-SAN-08","Admin Page Sanity","Verify Search button","Verify Search action button is present","1. Inspect Search button","Search button is visible and enabled"
"ADM-SAN-09","Admin Page Sanity","Verify Reset button","Verify Reset action button is present","1. Inspect Reset button","Reset button is visible and enabled"
"ADM-SAN-10","Admin Page Sanity","Search with valid username","Verify search returns valid records for 'Admin'","1. Fill Username with 'Admin'\n2. Click Search","Search returns 1 or more matching user records in table"
"ADM-SAN-11","Admin Page Sanity","Search with invalid username","Verify search handles no matching records gracefully","1. Fill Username with 'zzz_nonexistent'\n2. Click Search","Table displays 'No Records Found' message"
"ADM-SAN-12","Admin Page Sanity","Reset search filters","Verify reset button clears search inputs and restores list","1. Click Reset button","Username input is cleared; list is refreshed to show all records"
"ADM-SAN-13","Admin Page Sanity","Verify records table headers","Verify the columns of the System Users table","1. Inspect table headers","Columns match: Username, User Role, Employee Name, Status, Actions"
"ADM-SAN-14","Admin Page Sanity","Verify Add button","Verify presence of Add User button","1. Inspect top right of table area","'Add' button is visible"
"ADM-SAN-15","Admin Page Sanity","Click Add button and verify navigation","Verify navigation to User creation form","1. Click 'Add' button","URL redirects to user save form (contains 'saveSystemUser')"
"ADM-SAN-16","Admin Page Sanity","Verify Add User form fields","Verify presence of all user details fields","1. Inspect Save System User form","User Role, Employee Name, Status, Username, Password, Confirm Password are all visible"
"ADM-SAN-17","Admin Page Sanity","Cancel add user","Verify cancel returns to user list","1. Click 'Cancel' button on add form","Redirects back to System Users list (URL contains '/admin/viewSystemUsers')"
"ADM-SAN-18","Admin Page Sanity","Verify Admin top-level menu tabs","Verify Admin module sub-menu tabs are displayed","1. Inspect header menu items","Tabs: User Management, Job, Organization, Qualifications, Nationalities, Corporate Branding, Configuration are visible"
"ADM-SAN-19","Admin Page Sanity","Navigate to Job Titles","Verify navigation to Job Titles manager","1. Click 'Job' tab\n2. Click 'Job Titles' option","URL redirects to job title list (contains 'admin/viewJobTitleList')"
"ADM-SAN-20","Admin Page Sanity","Navigate back to User Management","Verify returning to user management from submenu","1. Click 'User Management' tab or 'Admin' sidebar item","URL redirects back to system users list"
